
Time,Voltage
73047,731
73058,731
73070,731
73081,731
73093,731
73104,731
73115,731
73127,732
73139,731
73150,731
73161,731
73172,731
73184,731
73196,731
73207,732
73219,731
73230,731
73241,731
73252,731
73265,732
73276,731
73287,731
73298,731
73310,731
73321,731
73333,731
73345,731
73356,732
73367,731
73378,731
73390,731
73402,731
73413,731
73424,731
73436,731
73447,731
73458,731
73470,730
73482,731
73493,731
73504,731
73516,731
73528,731
73539,732
73550,731
73562,731
73573,731
73584,731
73596,731
73608,731
73619,731
73630,731
73641,731
73653,731
73665,731
73676,731
73688,731
73699,731
73710,731
73721,731
73734,731
73745,731
73756,731
73767,731
73779,731
73790,731
73802,731
73814,731
73825,731
73836,731
73847,731
73860,731
73871,731
73882,731
73893,731
73905,731
73916,731
73928,731
73939,731
73951,731
73962,731
73973,731
73985,731
73997,731
74008,731
74019,731
74031,731
74042,731
74053,731
74065,731
74077,731
74088,731
74099,731
74110,731
74122,731
74134,731
74145,731
74157,731
74168,731
74179,731
74190,731
74203,731
74214,731
74225,731
74236,731
74248,731
74260,731
74271,731
74283,731
74294,731
74305,731
74316,731
74329,731
74340,731
74351,731
74362,731
74374,731
74385,731
74397,732
74408,731
74420,731
74431,731
74442,731
74454,731
74466,731
74477,731
74488,731
74500,731
74511,731
74522,731
74534,731
74546,732
74557,731
74568,731
74579,732
74592,731
74603,731
74614,731
74626,731
74637,730
74648,731
74660,731
74672,731
74683,731
74694,731
74705,731
74717,731
74729,731
74740,731
74752,731
74763,731
74774,731
74785,731
74798,731
74809,731
74820,731
74831,731
74843,731
74854,730
74866,730
74877,730
74889,732
74900,730
74911,731
74923,730
74935,731
74946,730
74957,730
74969,731
74980,730
74992,730
75003,730
75015,731
75026,730
75037,731
75048,730
75061,730
75072,730
75083,730
75095,730
75106,730
75117,730
75129,730
75141,730
75152,730
75163,730
75174,730
75186,730
75198,731
75209,729
75220,730
75232,730
75243,730
75254,730
75267,729
75278,730
75289,730
75300,730
75312,730
75324,730
75335,730
75346,730
75358,730
75369,730
75380,729
75393,730
75404,730
75415,730
75426,730
75438,729
75449,730
75461,730
75472,730
75484,730
75495,730
75506,730
75517,730
75530,730
75541,730
75552,729
75564,730
75575,730
75586,730
75598,730
75610,730
75621,730
75632,730
75643,731
75655,730
75667,729
75678,729
75689,730
75701,730
75712,730
75724,729
75736,730
75747,730
75758,730
75769,730
75781,730
75793,730
75804,730
75815,730
75827,730
75838,730
75849,730
75862,730
75873,730
75884,730
75895,730
75907,730
75918,730
75930,730
75941,730
